Date,AAPL,TSLA,SP500
2011-07-01,10.2958,1.93467,1339.67
2011-07-05,10.4784,1.94267,1337.88
2011-07-06,10.5491,1.93067,1339.22
2011-07-07,10.7133,1.982,1353.22
2011-07-08,10.7878,1.92067,1343.8
2011-07-11,10.6168,1.89,1319.49
2011-07-12,10.6101,1.878,1313.64
2011-07-13,10.7377,1.90933,1317.72
2011-07-14,10.7298,1.84067,1308.87
2011-07-15,10.9451,1.83867,1316.14
2011-07-18,11.2103,1.81533,1305.44
2011-07-19,11.3015,1.85933,1326.73
2011-07-20,11.6043,1.91267,1325.84
2011-07-21,11.6157,1.91333,1343.8
2011-07-22,11.7945,1.95267,1345.02
2011-07-25,11.9517,1.89933,1337.43
2011-07-26,12.0971,1.86667,1331.94
2011-07-27,11.7739,1.84267,1304.89
2011-07-28,11.7504,1.878,1300.67
2011-07-29,11.7111,1.878,1292.28
2011-08-01,11.8989,1.918,1286.94
2011-08-02,11.6649,1.82267,1254.05
2011-08-03,11.7739,1.81333,1260.34
2011-08-04,11.318,1.65,1200.07
2011-08-05,11.2053,1.616,1199.38
2011-08-08,10.5934,1.576,1119.46
2011-08-09,11.2161,1.67067,1172.53
2011-08-10,10.9076,1.588,1120.76
2011-08-11,11.2073,1.68667,1172.64
2011-08-12,11.3055,1.754,1178.81
2011-08-15,11.4989,1.74867,1204.49
2011-08-16,11.4123,1.74,1192.76
2011-08-17,11.4103,1.722,1193.89
2011-08-18,10.9794,1.61733,1140.65
2011-08-19,10.6769,1.48667,1123.53
2011-08-22,10.6897,1.46333,1123.82
2011-08-23,11.2043,1.53067,1162.35
2011-08-24,11.282,1.59133,1177.6
2011-08-25,11.2083,1.54067,1159.27
2011-08-26,11.5038,1.582,1176.8
2011-08-29,11.6953,1.64733,1210.08
2011-08-30,11.6963,1.642,1212.92
2011-08-31,11.5421,1.64933,1218.89
2011-09-01,11.4263,1.6,1204.42
2011-09-02,11.2171,1.538,1173.97
2011-09-06,11.3889,1.52933,1165.24
2011-09-07,11.5147,1.58933,1198.62
2011-09-08,11.5207,1.574,1185.9
2011-09-09,11.3209,1.53133,1154.23
2011-09-12,11.3956,1.52533,1162.27
2011-09-13,11.5354,1.60533,1172.87
2011-09-14,11.6768,1.62267,1188.68
2011-09-15,11.7848,1.65467,1209.11
2011-09-16,12.0115,1.72,1216.01
2011-09-19,12.3465,1.718,1204.09
2011-09-20,12.3995,1.734,1202.09
2011-09-21,12.3623,1.72333,1166.76
2011-09-22,12.0519,1.70867,1129.56
2011-09-23,12.1254,1.75867,1136.43
2011-09-26,12.0911,1.70133,1162.95
2011-09-27,11.9744,1.746,1175.38
2011-09-28,11.9075,1.63933,1151.06
2011-09-29,11.7141,1.608,1160.4
2011-09-30,11.4351,1.626,1131.42
2011-10-03,11.2337,1.582,1099.23
2011-10-04,11.1709,1.57733,1123.95
2011-10-05,11.3447,1.69133,1144.03
2011-10-06,11.318,1.79733,1164.97
2011-10-07,11.0903,1.79933,1155.46
2011-10-10,11.6621,1.85867,1194.89
2011-10-11,12.0057,1.84067,1195.54
2011-10-12,12.0627,1.85333,1207.25
2011-10-13,12.2493,1.86267,1203.66
2011-10-14,12.6578,1.87,1224.58
2011-10-17,12.5969,1.828,1200.86
2011-10-18,12.6658,1.88933,1225.38
2011-10-19,11.9557,1.838,1209.88
2011-10-20,11.8553,1.82267,1215.39
2011-10-21,11.7828,1.86867,1238.25
2011-10-24,12.1688,1.90333,1254.19
2011-10-25,11.9299,1.88333,1229.05
2011-10-26,12.0155,1.86533,1242.0
2011-10-27,12.1364,1.91733,1284.59
2011-10-28,12.1441,1.99133,1285.09
2011-10-31,12.1393,1.958,1253.3
2011-11-01,11.8911,1.92533,1218.28
2011-11-02,11.9192,1.914,1237.9
2011-11-03,12.0881,2.164,1261.15
2011-11-04,12.0037,2.154,1253.23
2011-11-07,11.988,2.08467,1261.12
2011-11-08,12.1825,2.12267,1275.92
2011-11-09,11.8543,2.05867,1229.1
2011-11-10,11.5538,2.08867,1239.7
2011-11-11,11.5354,2.24267,1263.85
2011-11-14,11.3754,2.21467,1251.78
2011-11-15,11.6621,2.262,1257.81
2011-11-16,11.5401,2.32933,1236.91
2011-11-17,11.319,2.24533,1216.13
2011-11-18,11.2445,2.17333,1215.65
2011-11-21,11.067,2.11733,1192.98
2011-11-22,11.2919,2.138,1188.04
2011-11-23,11.007,2.09667,1161.79
2011-11-25,10.9046,2.11067,1158.67
2011-11-28,11.28,2.17067,1192.55
2011-11-29,11.1926,2.11667,1195.19
2011-11-30,11.4628,2.18267,1246.96
2011-12-01,11.6344,2.17333,1244.58
2011-12-02,11.6874,2.22,1244.28
2011-12-05,11.7858,2.29467,1257.08
2011-12-06,11.7249,2.32467,1258.47
2011-12-07,11.6698,2.27933,1261.01
2011-12-08,11.7171,2.05933,1234.35
2011-12-09,11.8045,2.06933,1255.19
2011-12-12,11.7514,2.02733,1236.47
2011-12-13,11.6621,1.96333,1225.73
2011-12-14,11.4034,1.902,1211.82
2011-12-15,11.3655,1.908,1215.75
2011-12-16,11.4263,1.86667,1219.66
2011-12-19,11.4628,1.85,1205.35
2011-12-20,11.8751,1.86,1241.3
2011-12-21,11.8891,1.838,1243.72
2011-12-22,11.9537,1.85133,1254.0
2011-12-23,12.0951,1.86,1265.33
2011-12-27,12.1914,1.90467,1265.43
2011-12-28,12.0764,1.90067,1249.64
2011-12-29,12.149,1.91533,1263.02
2011-12-30,12.145,1.904,1257.6
2012-01-03,12.3337,1.872,1277.06
2012-01-04,12.3995,1.84733,1277.3
2012-01-05,12.538,1.808,1281.06
2012-01-06,12.6698,1.794,1277.81
2012-01-09,12.6498,1.81667,1280.7
2012-01-10,12.6953,1.84133,1292.08
2012-01-11,12.6745,1.882,1292.48
2012-01-12,12.6389,1.88333,1295.5
2012-01-13,12.5911,1.51933,1289.09
2012-01-17,12.7346,1.77333,1293.67
2012-01-18,12.8689,1.78733,1308.04
2012-01-19,12.8276,1.784,1314.5
2012-01-20,12.6059,1.77333,1315.38
2012-01-23,12.8181,1.78467,1316.0
2012-01-24,12.6088,1.828,1314.65
2012-01-25,13.3954,1.86467,1326.06
2012-01-26,13.3357,1.92933,1318.43
2012-01-27,13.4142,1.95533,1316.33
2012-01-30,13.5849,1.97133,1313.01
2012-01-31,13.691,1.938,1312.41
2012-02-01,13.6822,1.972,1324.09
2012-02-02,13.6498,2.01667,1325.54
2012-02-03,13.7855,2.07667,1344.9
2012-02-06,13.9149,2.12,1344.33
2012-02-07,14.0602,2.10667,1347.05
2012-02-08,14.2961,2.12867,1349.96
2012-02-09,14.7902,2.172,1351.95
2012-02-10,14.7981,2.07333,1342.64
2012-02-13,15.074,2.09933,1351.77
2012-02-14,15.279,2.21133,1350.5
2012-02-15,14.9264,2.24,1343.23
2012-02-16,15.0611,2.27933,1358.04
2012-02-17,15.0581,2.33133,1361.23
2012-02-21,15.4402,2.3,1362.21
2012-02-22,15.3863,2.28133,1357.66
2012-02-23,15.4864,2.302,1363.46
2012-02-24,15.6692,2.25,1365.74
2012-02-27,15.7702,2.24133,1367.59
2012-02-28,16.0571,2.254,1372.18
2012-02-29,16.2692,2.22733,1365.68
2012-03-01,16.33,2.294,1374.09
2012-03-02,16.3528,2.26933,1369.63
2012-03-05,15.9893,2.25133,1364.33
2012-03-06,15.9018,2.20733,1343.36
2012-03-07,15.9156,2.208,1352.63
2012-03-08,16.2542,2.20467,1365.91
2012-03-09,16.3528,2.316,1370.87
2012-03-12,16.5549,2.40067,1371.09
2012-03-13,17.039,2.406,1395.95
2012-03-14,17.6826,2.35267,1394.28
2012-03-15,17.5615,2.33333,1402.6
2012-03-16,17.5615,2.35467,1404.17
2012-03-19,18.0271,2.332,1409.75
2012-03-20,18.1736,2.33067,1405.52
2012-03-21,18.0706,2.34333,1402.89
2012-03-22,17.9743,2.29333,1392.78
2012-03-23,17.877,2.272,1397.11
2012-03-26,18.203,2.49333,1416.51
2012-03-27,18.4289,2.52933,1412.52
2012-03-28,18.5232,2.52333,1405.54
2012-03-29,18.2905,2.48867,1403.28
2012-03-30,17.9802,2.48267,1408.47
2012-04-02,18.5546,2.43867,1419.04
2012-04-03,18.8737,2.534,1413.38
2012-04-04,18.7234,2.33333,1398.96
2012-04-05,18.9936,2.314,1398.08
2012-04-09,19.0811,2.21,1382.2
2012-04-10,18.8484,2.164,1358.59
2012-04-11,18.7805,2.206,1368.71
2012-04-12,18.6776,2.22933,1387.57
2012-04-13,18.15,2.23933,1370.26
2012-04-16,17.3975,2.15,1369.57
2012-04-17,18.2855,2.14933,1390.78
2012-04-18,18.2453,2.17733,1385.14
2012-04-19,17.6185,2.21067,1376.92
2012-04-20,17.1843,2.21067,1378.53
2012-04-23,17.1463,2.12933,1366.94
2012-04-24,16.8026,2.12133,1371.97
2012-04-25,18.2945,2.194,1390.69
2012-04-26,18.2257,2.23267,1399.98
2012-04-27,18.085,2.22267,1403.36
2012-04-30,17.5136,2.20867,1397.91
2012-05-01,17.4587,2.252,1405.82
2012-05-02,17.5744,2.26267,1402.31
2012-05-03,17.4489,2.164,1391.57
2012-05-04,16.953,2.122,1369.1
2012-05-07,17.0805,2.16467,1369.58
2012-05-08,17.042,2.01267,1363.72
2012-05-09,17.0707,2.004,1354.58
2012-05-10,17.1107,2.19733,1357.99
2012-05-11,16.9969,2.15,1353.39
2012-05-14,16.7407,2.004,1338.35
2012-05-15,16.5905,1.962,1330.66
2012-05-16,16.3781,1.94533,1324.8
2012-05-17,15.8988,1.90467,1304.86
2012-05-18,15.9067,1.83733,1295.22
2012-05-21,16.8338,1.918,1315.99
2012-05-22,16.7024,2.05267,1316.63
2012-05-23,17.1117,2.068,1318.86
2012-05-24,16.955,2.02133,1320.68
2012-05-25,16.8645,1.98733,1317.82
2012-05-29,17.164,2.11267,1332.42
2012-05-30,17.3694,2.02733,1313.32
2012-05-31,17.3249,1.96667,1310.33
2012-06-01,16.825,1.87667,1278.04
2012-06-04,16.9243,1.85867,1278.18
2012-06-05,16.8811,1.86067,1285.5
2012-06-06,17.1395,1.94333,1315.13
2012-06-07,17.1472,1.92867,1314.99
2012-06-08,17.4034,2.00533,1325.66
2012-06-11,17.1306,1.94133,1308.93
2012-06-12,17.2798,1.97733,1324.18
2012-06-13,17.16,1.98467,1314.88
2012-06-14,17.1413,1.95933,1329.1
2012-06-15,17.218,1.994,1342.84
2012-06-18,17.5675,2.12267,1344.78
2012-06-19,17.6175,2.13933,1357.98
2012-06-20,17.5665,2.252,1355.69
2012-06-21,17.3229,2.146,1325.51
2012-06-22,17.4577,2.25267,1335.02
2012-06-25,17.1177,2.20733,1313.72
2012-06-26,17.1562,2.10733,1319.99
2012-06-27,17.2298,2.13067,1331.85
2012-06-28,17.0667,2.094,1329.04
2012-06-29,17.5146,2.086,1362.16
2012-07-02,17.7718,2.02667,1365.51
2012-07-03,17.9763,2.044,1374.02
2012-07-05,18.2925,2.082,1367.58
2012-07-06,18.1706,2.066,1354.68
2012-07-09,18.4104,2.09933,1352.46
2012-07-10,18.2403,2.08467,1341.47
2012-07-11,18.1264,2.10067,1341.45
2012-07-12,17.9615,2.18,1334.76
2012-07-13,18.1422,2.28333,1356.78
2012-07-16,18.202,2.39733,1353.64
2012-07-17,18.203,2.22333,1363.67
2012-07-18,18.1813,2.14333,1372.78
2012-07-19,18.4251,2.15133,1376.51
2012-07-20,18.1226,2.11933,1362.66
2012-07-23,18.1096,2.044,1350.52
2012-07-24,18.0222,1.98933,1338.31
2012-07-25,17.2445,1.93,1337.89
2012-07-26,17.2415,1.87533,1360.02
2012-07-27,17.5497,1.96733,1385.97
2012-07-30,17.8454,1.82333,1385.3
2012-07-31,18.319,1.828,1379.32
2012-08-01,18.1991,1.75,1375.32
2012-08-02,18.2277,1.74,1365.0
2012-08-03,18.465,1.818,1390.99
2012-08-06,18.6717,1.88467,1394.23
2012-08-07,18.6202,2.01667,1401.35
2012-08-08,18.5911,1.93933,1402.22
2012-08-09,18.695,1.96067,1402.8
2012-08-10,18.7254,1.996,1405.87
2012-08-13,18.9749,2.078,1404.11
2012-08-14,19.0272,1.96133,1403.93
2012-08-15,19.0016,1.96,1405.53
2012-08-16,19.1673,2.02,1415.51
2012-08-17,19.52,2.00067,1418.16
2012-08-20,20.0329,1.96733,1418.13
2012-08-21,19.7606,1.94067,1413.17
2012-08-22,20.1457,1.99667,1413.49
2012-08-23,19.9572,2.04867,1402.08
2012-08-24,19.9747,1.96667,1411.13
2012-08-27,20.3539,1.888,1410.44
2012-08-28,20.3264,1.91267,1409.3
2012-08-29,20.286,1.894,1410.49
2012-08-30,19.9944,1.894,1399.48
2012-08-31,20.0359,1.90133,1406.58
2012-09-04,20.3312,1.876,1404.94
2012-09-05,20.1879,1.86267,1403.44
2012-09-06,20.3707,1.90333,1432.12
2012-09-07,20.4943,1.95667,1437.92
2012-09-10,19.9611,1.82467,1429.08
2012-09-11,19.897,1.85333,1433.56
2012-09-12,20.1742,1.88533,1436.56
